session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	learnCond	order	expBlack	expWhite	expDiff
14139376	996.425	1352.125	731.539403	0.486234916	Other	Strongly liberal	Black	us	28	-0.49	"Black Names/Unpleasant Words,White Names/Pleasant Words"	5	1	48	1	0	-2	36	-1	1	1	Control	Congruent first	10.4	7.6	-2.8
14139428	894.25	987.7	483.3502799	0.193338049	Female	Strongly liberal	White	us	22	-0.19	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-6	18	96	7	36	51	23	-10	-41	-4	Experimental	Congruent first	36.8	-2.8	-39.6
14139484	1761.35	1857.525	1399.243592	-0.068733565	Female	Moderately liberal	White	us	44	0.07	"White Names/Unpleasant Words,Black Names/Pleasant Words"	6	8	1	0	2	1	2	1	-1	2	Experimental	Incongruent first	2	2.4	0.4
14139505	1001.725	1134.675	567.0681516	-0.234451537	Female	Moderately liberal	Black	us	23	0.23	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	NA	2	89	94	86	-1	-2	95	97	Control	Incongruent first	54.4	47.25	-7.15
14139525	1080.6	778.85	1016.448807	0.296866894	Female	Strongly conservative	Hispanic	us	23	-0.56	"White Names/Unpleasant Words,Black Names/Pleasant Words"	47	43	49	46	47	51	52	50	44	45	Experimental	Incongruent first	48	46.8	-1.2
14139560	769.575	1096.35	359.8276466	0.908143115	Female	Neutral	White	us	54	-0.89	"White Names/Pleasant Words,Black Names/Unpleasant Words"	49	41	-1	0	0	-1	-1	0	0	0	Experimental	Congruent first	9.4	8	-1.4
14139563	1790.85	1108.225	938.2193334	0.727575073	Female	Slightly conservative	White	us	55	-0.7	"White Names/Unpleasant Words,Black Names/Pleasant Words"	66	76	52	57	53	63	58	51	50	47	Experimental	Incongruent first	58.2	56.4	-1.8
14139573	2717	2038.9	1513.174782	0.448130651	Male	Moderately conservative	Black	us	43	-0.43	"Black Names/Pleasant Words,White Names/Unpleasant Words"	2	3	0	0	0	0	0	0	0	1	Experimental	Incongruent first	0.4	0.8	0.4
14139575	1022.65	1605.3	666.3287852	0.874418175	Male	Slightly conservative	White	us	52	-0.85	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-1	0	-1	1	1	-1	-1	-1	-1	Control	Congruent first	0	-1	-1
14139578	913.2	2066.525	1151.307729	1.001752156	Female	Slightly liberal	White	us	21	-0.98	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-1	98	-3	-2	-2	97	-2	-1	0	Control	Congruent first	18	18.6	0.6
14139611	544.075	959.1	315.6769176	1.314714434	Female	Moderately liberal	Multiracial	us	25	-1.27	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-9	-13	-2	-2	-1	-3	-4	-2	-2	-1	Control	Congruent first	-3.4	-4.4	-1
14139639	1134.15	2484.525	1378.085031	0.979892365	Female	Moderately conservative	Asian	us	49	-0.95	"White Names/Pleasant Words,Black Names/Unpleasant Words"	33	67	27	-1	-30	88	1	-1	5	4	Experimental	Congruent first	23.4	15.2	-8.2
14139669	1201.025	1232.1	590.7330534	-0.052604133	Female	Moderately liberal	White	us	44	0.05	"Black Names/Pleasant Words,White Names/Unpleasant Words"	24	-37	1	8	6	7	-8	-22	-21	-8	Control	Incongruent first	9.2	-19.2	-28.4
14139698	1607.175	1053.45	677.3832861	0.817447096	Male	Moderately liberal	White	us	40	-0.81	"Black Names/Pleasant Words,White Names/Unpleasant Words"	12	0	57	59	59	53	49	48	50	52	Experimental	Incongruent first	48	39.8	-8.2
14139700	2081.108108	1837.175	1584.763108	-0.15392402	Male	Moderately liberal	Black	us	36	0.15	"White Names/Pleasant Words,Black Names/Unpleasant Words"	51	3	35	64	4	100	11	-1	2	9	Experimental	Congruent first	50.8	4.8	-46
14139767	777.8	902.05	322.2330226	0.385590524	Female	Slightly conservative	White	us	54	-0.38	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-3	7	25	6	4	6	4	7	4	Control	Congruent first	8.2	3.6	-4.6
14139791	1047.55	1363.6	775.69064	0.407443359	Female	Neutral	White	us	30	-0.4	"White Names/Pleasant Words,Black Names/Unpleasant Words"	0	0	-2	-1	0	0	-2	-1	-1	-2	Experimental	Congruent first	-0.6	-1.2	-0.6
14139838	2153.85	1103.3	1045.884845	1.004460487	Female	Neutral	White	us	58	-0.99	"White Names/Unpleasant Words,Black Names/Pleasant Words"	43	67	-2	-13	-16	-16	-3	43	44	96	Experimental	Incongruent first	-0.8	49.4	50.2
14139843	1205.475	1154.15	597.2241293	-0.08593926	Male	Slightly liberal	Middle Eastern	us	18	0.08	"Black Names/Unpleasant Words,White Names/Pleasant Words"	1	-3	-1	-2	0	0	-1	-1	-1	0	Experimental	Congruent first	-0.4	-1.2	-0.8
14139845	900.25	830.425	424.9939968	0.164296438	Female	Neutral	Hispanic	us	20	-0.09	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-1	-2	18	1	-1	-3	-2	-45	-28	-47	Control	Incongruent first	2.8	-24.8	-27.6
14139874	838.675	1001.45	350.6030372	0.464271506	Male	Strongly liberal	Hispanic	us	59	-0.46	"Black Names/Unpleasant Words,White Names/Pleasant Words"	67	0	0	-1	0	1	-1	1	-1	-9	Experimental	Congruent first	13.4	-2	-15.4
14139890	1023.3	775.25	289.9425074	0.855514434	Male	Slightly conservative	White	us	31	-0.84	"Black Names/Pleasant Words,White Names/Unpleasant Words"	43	42	0	-1	-1	-1	0	1	-1	1	Experimental	Incongruent first	8	8.6	0.6
14139933	796.975	1029.425	333.762077	-0.696454199	Male	Strongly liberal	White	us	37	0.69	"White Names/Unpleasant Words,Black Names/Pleasant Words"	17	-19	28	17	26	23	28	-15	17	-1	Experimental	Incongruent first	22.2	2	-20.2
14140042	1012.2	912.85	552.0509052	0.179965288	Male	Slightly conservative	White	us	31	-0.18	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-2	-3	26	-2	0	0	29	0	-35	0	Experimental	Incongruent first	4.4	-1.8	-6.2
14140043	706.925	912.875	254.7509879	0.808436512	Female	Slightly liberal	Hispanic	us	32	-0.8	"White Names/Pleasant Words,Black Names/Unpleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first	NA	NA	NA
14140069	959.425	1567.525	768.5548163	-0.79122528	Male	Neutral	Hispanic	us	22	0.76	"White Names/Unpleasant Words,Black Names/Pleasant Words"	1	3	0	-1	0	-1	2	-3	-1	-1	Control	Incongruent first	-0.2	0	0.2
14140073	1406.9	869.65	1101.742681	0.48763655	Female	Moderately liberal	Black	us	67	-0.49	"White Names/Unpleasant Words,Black Names/Pleasant Words"	98	100	92	87	85	85	36	27	49	44	Control	Incongruent first	89.4	51.2	-38.2
14140119	723.475	992.6	362.5860507	0.7422376	Female	NA	White	us	60	-0.74	"Black Names/Unpleasant Words,White Names/Pleasant Words"	43	37	11	-1	19	3	-41	-33	-18	-35	Control	Congruent first	15	-18	-33
14140129	1344.875	1465.7	1107.573562	0.10908982	Male	Slightly conservative	Asian	us	26	-0.11	"Black Names/Unpleasant Words,White Names/Pleasant Words"	21	24	54	53	57	55	55	54	54	55	Control	Congruent first	48	48.4	0.4
14140145	1012.425	707.5	523.5759334	0.582389259	Female	Moderately liberal	White	us	25	-0.58	"Black Names/Pleasant Words,White Names/Unpleasant Words"	25	-1	99	97	99	0	0	-98	-83	-31	Control	Incongruent first	64	-42.6	-106.6
14140146	880.775	1616.175	1312.419873	0.56033897	Female	Moderately conservative	White	us	21	-0.56	"White Names/Pleasant Words,Black Names/Unpleasant Words"	26	46	3	27	26	20	1	18	3	46	Experimental	Congruent first	20.4	22.8	2.4
14140239	1830.5	1035.85	1068.153698	0.743947244	Female	Slightly liberal	White	us	67	-0.74	"Black Names/Pleasant Words,White Names/Unpleasant Words"	90	91	-1	-1	1	1	-1	1	0	1	Control	Incongruent first	18	18.4	0.4
14140242	939.95	1462.15	537.1891659	0.972097043	Male	Moderately liberal	White	us	74	-0.96	"White Names/Pleasant Words,Black Names/Unpleasant Words"	16	35	1	0	16	50	0	6	19	31	Experimental	Congruent first	16.6	18.2	1.6
14140263	848.925	1043.075	749.9357441	0.258888847	Female	Strongly liberal	Asian	us	35	-0.29	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	-70	95	0	1	2	-2	-57	-37	-1	Control	Congruent first	39.6	-33.4	-73
14140306	1309.9	2426.25	1551.963923	-0.719314401	Female	Moderately liberal	Hispanic	us	31	0.71	"Black Names/Pleasant Words,White Names/Unpleasant Words"	45	-16	98	98	100	98	100	57	51	99	Experimental	Incongruent first	87.8	58.2	-29.6
14140338	1012.625	932.25	323.4552321	0.248488792	Female	Moderately liberal	Black	us	NA	-0.25	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-1	1	1	-1	1	2	-6	-4	0	0	Control	Incongruent first	0.4	-1.8	-2.2
14140418	1061.55	1300.025	675.6737789	0.352943991	Female	Moderately conservative	White	us	59	-0.35	"White Names/Pleasant Words,Black Names/Unpleasant Words"	5	2	-7	-1	-1	1	2	-4	-3	-1	Control	Congruent first	-0.6	-0.8	-0.2
14140434	1209.692308	1792.125	1311.004914	0.444264309	Male	Neutral	Hispanic	us	46	-0.44	"Black Names/Unpleasant Words,White Names/Pleasant Words"	4	11	-3	16	16	27	39	38	53	44	Experimental	Congruent first	12	37	25
14140462	1432.275	971.05	668.1234242	0.690329037	Male	Slightly liberal	Hispanic	us	19	-0.69	"White Names/Unpleasant Words,Black Names/Pleasant Words"	53	47	93	94	93	92	91	91	92	92	Control	Incongruent first	85	82.6	-2.4
14140463	1723.45	2163.8	1584.196002	0.277964343	Female	Slightly conservative	White	us	22	-0.28	"White Names/Pleasant Words,Black Names/Unpleasant Words"	68	78	0	-1	-1	-1	-1	0	0	0	Experimental	Congruent first	13	15.4	2.4
14140484	874.725	734.1	270.5873917	0.519702707	Female	Slightly liberal	White	us	57	-0.52	"Black Names/Pleasant Words,White Names/Unpleasant Words"	7	7	-2	0	-1	2	1	0	-1	0	Control	Incongruent first	1.2	1.4	0.2
14140547	953.675	964.225	360.7953907	-0.02924095	Male	Moderately liberal	Hispanic	us	36	0.03	"Black Names/Pleasant Words,White Names/Unpleasant Words"	2	15	0	0	1	0	9	-1	1	0	Control	Incongruent first	0.6	4.8	4.2
14140548	743.975	984.05	280.0883447	0.857140272	Male	Strongly liberal	White	us	24	-0.83	"Black Names/Unpleasant Words,White Names/Pleasant Words"	12	-19	30	0	-1	0	-16	-2	-2	-1	Experimental	Congruent first	8.2	-8	-16.2
14140569	1136.05	1084	591.2922338	0.088027539	Female	Moderately liberal	White	us	23	-0.09	"White Names/Unpleasant Words,Black Names/Pleasant Words"	22	-29	71	1	0	0	-98	-23	-43	-39	Experimental	Incongruent first	18.8	-46.4	-65.2
14140591	1243.775	1165.175	544.5309205	0.14434442	Female	Strongly conservative	White	us	50	-0.14	"Black Names/Pleasant Words,White Names/Unpleasant Words"	0	0	100	1	1	72	99	1	0	0	Control	Incongruent first	34.8	20	-14.8
14140642	1017.525	1281.675	663.3939128	0.398179716	Male	Strongly liberal	White	us	39	-0.39	"White Names/Pleasant Words,Black Names/Unpleasant Words"	94	79	48	81	93	86	52	-1	8	15	Control	Congruent first	80.4	30.6	-49.8
14140669	2052.45	1170.9	894.7591681	0.98523718	Male	Strongly conservative	White	us	61	-0.96	"White Names/Unpleasant Words,Black Names/Pleasant Words"	39	42	72	-3	69	0	55	69	60	0	Experimental	Incongruent first	35.4	45.2	9.8
14140694	938.8	1013.15	295.0008357	-0.252033184	Male	Moderately liberal	White	us	15	0.25	"Black Names/Pleasant Words,White Names/Unpleasant Words"	12	-11	-1	11	13	24	0	9	-2	-9	Control	Incongruent first	11.8	-2.6	-14.4
14140855	841.575	1048.1	433.1310336	0.476818755	Male	Neutral	White	us	44	-0.46	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-5	-4	43	43	-3	48	46	40	-10	44	Experimental	Congruent first	25.2	23.2	-2
14140866	734.3	1327.625	540.7758712	1.097173583	Female	Strongly conservative	White	us	17	-1.06	"Black Names/Unpleasant Words,White Names/Pleasant Words"	5	6	6	55	49	49	42	56	30	47	Experimental	Congruent first	32.8	36.2	3.4
14140876	745.975	986.525	547.2886333	0.439530415	Female	Neutral	White	us	21	-0.44	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	4	-18	-9	-17	-19	-18	21	-3	1	Control	Congruent first	-12	1	13
14140892	814.8	879.7	395.3304818	-0.164166445	Female	Moderately conservative	White	us	22	0.16	"Black Names/Pleasant Words,White Names/Unpleasant Words"	50	47	98	65	46	46	98	47	54	53	Control	Incongruent first	61	59.8	-1.2
14140907	1090.15	1120.825	565.0232211	-0.054289804	Female	Strongly liberal	White	us	56	0.05	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-4	-2	0	-2	-1	-3	-1	-1	-1	-5	Control	Incongruent first	-2	-2	0
14140927	1003.275	1151.675	470.7421013	-0.315246925	Female	Moderately liberal	White	us	51	0.31	"Black Names/Pleasant Words,White Names/Unpleasant Words"	26	19	24	28	27	30	27	-10	32	9	Control	Incongruent first	27	15.4	-11.6
14140931	844.65	930.875	455.0180479	-0.189497978	Female	Moderately liberal	Hispanic	us	29	0.19	"Black Names/Pleasant Words,White Names/Unpleasant Words"	38	-2	2	19	15	19	-2	-1	20	15	Experimental	Incongruent first	18.6	6	-12.6
14140942	1575.675	1002.375	863.8431933	0.663662114	Male	Moderately liberal	White	us	42	-0.66	"White Names/Unpleasant Words,Black Names/Pleasant Words"	2	-1	-1	0	-1	-1	-1	1	1	1	Experimental	Incongruent first	-0.2	0.2	0.4
14140962	1255.15	1266.4	545.3872152	0.020627546	Female	Moderately conservative	Black	us	35	-0.02	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	57	98	100	99	98	45	41	41	32	Control	Congruent first	99	43.2	-55.8
14140969	761.85	900.15	389.8294337	0.354770543	Female	Neutral	White	us	21	-0.3	"Black Names/Unpleasant Words,White Names/Pleasant Words"	6	-13	100	0	0	6	99	0	0	0	Experimental	Congruent first	22.4	17.2	-5.2
14140976	642.5	645.35	208.7343278	-0.01365372	Female	Moderately liberal	White	us	51	0.01	"Black Names/Pleasant Words,White Names/Unpleasant Words"	29	20	27	-3	26	1	0	0	23	-6	Experimental	Incongruent first	16	7.4	-8.6
14141006	715.625	1016.425	336.1618046	0.894807191	Male	Strongly liberal	White	us	55	-0.88	"White Names/Pleasant Words,Black Names/Unpleasant Words"	32	31	-1	3	1	-1	-1	-19	-13	-1	Control	Congruent first	6.8	-0.6	-7.4
14141047	869.25	1095.3	360.7939198	0.626534949	Female	Slightly liberal	White	us	47	-0.61	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	2	-1	-2	-1	-2	0	-1	-4	-1	Experimental	Congruent first	-0.6	-0.8	-0.2
14141063	757.925	819.125	299.2313772	-0.204524006	Female	Neutral	White	us	27	0.2	"White Names/Unpleasant Words,Black Names/Pleasant Words"	66	67	100	98	97	98	99	98	97	99	Control	Incongruent first	91.8	92	0.2
14141068	778.625	865.725	323.550938	0.26920027	Male	Strongly liberal	Black	us	25	-0.27	"Black Names/Unpleasant Words,White Names/Pleasant Words"	35	39	0	-2	-1	0	-2	0	-2	-1	Control	Congruent first	6.4	6.8	0.4
14141092	1837.4	1146.925	809.9034392	0.852539904	Male	Moderately conservative	White	us	57	-0.84	"White Names/Unpleasant Words,Black Names/Pleasant Words"	1	45	37	45	49	36	40	42	39	41	Experimental	Incongruent first	33.6	41.4	7.8
14141117	850.075	1109.85	685.3981277	0.379013291	Female	NA	White	us	54	-0.38	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	100	100	1	91	95	59	40	52	76	Control	Congruent first	77.4	65.4	-12
14141226	916.575	860.45	305.1005642	0.18395574	Female	Slightly liberal	Hispanic	us	22	-0.17	"Black Names/Pleasant Words,White Names/Unpleasant Words"	18	21	48	2	-1	37	55	-2	0	-1	Control	Incongruent first	20.8	14.6	-6.2
14141342	811.225	1045.525	509.1815318	0.460150232	Female	Slightly liberal	White	us	21	-0.45	"Black Names/Unpleasant Words,White Names/Pleasant Words"	15	45	90	46	0	35	23	-11	-14	-8	Control	Congruent first	37.2	7	-30.2
14141351	1078.65	1208.45	809.4311004	0.160359541	Male	Neutral	White	us	20	-0.16	"White Names/Pleasant Words,Black Names/Unpleasant Words"	1	0	0	0	-1	1	-1	1	0	-1	Experimental	Congruent first	0.2	-0.2	-0.4
14141364	847.4	1023	438.9884633	0.400010512	Female	Neutral	White	us	53	-0.4	"White Names/Pleasant Words,Black Names/Unpleasant Words"	47	-4	4	1	-16	16	-17	-1	-18	-23	Experimental	Congruent first	10.4	-12.6	-23
14141366	844.15	843.7	330.9619189	-0.001359673	Female	Moderately conservative	White	us	37	0	"White Names/Pleasant Words,Black Names/Unpleasant Words"	91	85	97	98	64	98	62	65	62	64	Experimental	Congruent first	89.6	67.6	-22
14141371	1141.55	835.7	447.6699274	0.683204257	Female	Neutral	White	us	24	-0.66	"White Names/Unpleasant Words,Black Names/Pleasant Words"	2	6	96	97	99	98	96	98	98	98	Control	Incongruent first	78.4	79.2	0.8
14141428	854.875	788.95	323.8226657	-0.203583649	Male	Slightly liberal	White	us	33	0.2	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	0	0	-2	-1	2	-1	-1	0	-1	Experimental	Congruent first	-0.4	-0.6	-0.2
14141441	950.25	1123.7	511.4931969	0.339105194	Female	Moderately liberal	White	us	22	-0.34	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	0	10	0	0	4	-1	-15	-7	-6	Control	Congruent first	22.8	-5.8	-28.6
14141505	730.8	1102.575	377.1018596	0.985874216	Female	Moderately liberal	White	us	24	-0.98	"Black Names/Unpleasant Words,White Names/Pleasant Words"	99	99	99	1	99	99	98	1	99	98	Experimental	Congruent first	79.4	79	-0.4
14141506	792.9	1210	512.2626378	0.814230766	Female	Neutral	White	us	21	-0.81	"White Names/Pleasant Words,Black Names/Unpleasant Words"	81	100	92	55	55	54	79	51	47	65	Experimental	Congruent first	67.4	68.4	1
14141638	1062.925	743.125	415.7550695	0.769202888	Male	Moderately liberal	White	us	41	-0.67	"White Names/Unpleasant Words,Black Names/Pleasant Words"	1	-39	1	1	-5	3	0	-54	-39	-49	Control	Incongruent first	0.2	-36.2	-36.4
14141696	1725.375	1373.95	1085.876068	-0.323632697	Female	Neutral	White	us	68	0.32	"White Names/Pleasant Words,Black Names/Unpleasant Words"	23	51	2	0	-4	0	-1	-1	2	2	Experimental	Congruent first	4.2	10.6	6.4
14141703	1184.45	1106.725	521.2399699	0.149115579	Female	Strongly liberal	White	us	60	-0.15	"Black Names/Pleasant Words,White Names/Unpleasant Words"	45	39	17	20	-13	22	11	16	-11	8	Experimental	Incongruent first	18.2	12.6	-5.6
14141710	860.95	1296.7	546.9318976	0.796717108	Male	Neutral	White	us	55	-0.78	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-6	3	90	91	61	88	91	89	86	88	Control	Congruent first	64.8	71.4	6.6
14141741	1170.825	830.175	583.5802636	-0.583724333	Female	Strongly conservative	White	us	19	0.58	"White Names/Pleasant Words,Black Names/Unpleasant Words"	77	100	92	93	0	45	91	76	43	89	Control	Congruent first	61.4	79.8	18.4
14141809	1700	1153.55	950.0260886	0.575194731	Female	Moderately conservative	White	us	60	-0.57	"Black Names/Pleasant Words,White Names/Unpleasant Words"	91	86	98	98	95	97	92	99	98	94	Experimental	Incongruent first	95.8	93.8	-2
14141815	780.575	863.9	331.2492749	-0.25154772	Female	Moderately liberal	Hispanic	us	20	0.25	"White Names/Unpleasant Words,Black Names/Pleasant Words"	69	1	61	65	65	57	69	0	17	1	Experimental	Incongruent first	63.4	17.6	-45.8
14141827	2261.461538	1961.225	1457.898934	-0.205937827	Female	Strongly liberal	Black	us	18	0.2	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	23	99	24	24	12	2	-1	-6	-9	Experimental	Congruent first	51.8	1.8	-50
14141915	1465.225	1023.125	753.1239375	0.587021575	Female	Slightly conservative	White	us	40	-0.57	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-2	0	-2	-3	1	-3	-1	-1	-1	0	Control	Incongruent first	-1.8	-0.6	1.2
14141935	1165.275	959.25	654.8997748	0.314590122	Female	Slightly liberal	Hispanic	us	17	-0.31	"White Names/Unpleasant Words,Black Names/Pleasant Words"	93	47	40	-2	-3	18	-14	-29	-3	-12	Control	Incongruent first	29.2	-2.2	-31.4
14141945	1486	1582.825	780.1860326	-0.124105016	Male	Slightly conservative	White	us	58	0.12	"White Names/Unpleasant Words,Black Names/Pleasant Words"	0	1	1	-1	1	-1	-1	0	0	0	Control	Incongruent first	0	0	0
14141956	2079.763158	1551.425	1283.530407	0.41162886	Female	Strongly liberal	White	us	67	-0.41	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	1	1	0	-1	-2	0	0	0	-1	Experimental	Incongruent first	-0.2	0	0.2
14142008	1723.025	871.85	876.439212	0.971174028	Female	Moderately liberal	White	us	61	-0.96	"Black Names/Pleasant Words,White Names/Unpleasant Words"	2	15	-2	-3	0	0	1	2	-2	1	Experimental	Incongruent first	-0.6	3.4	4
14142036	798.55	742.125	388.558027	0.145216405	Female	Strongly conservative	Black	us	20	-0.15	"White Names/Unpleasant Words,Black Names/Pleasant Words"	90	-1	98	1	26	23	-1	-5	0	-2	Control	Incongruent first	47.6	-1.8	-49.4
14142040	875.65	1114.425	403.4672024	-0.591807707	Female	Strongly liberal	White	us	24	0.58	"Black Names/Pleasant Words,White Names/Unpleasant Words"	63	-67	67	56	100	72	14	-78	-100	-71	Experimental	Incongruent first	71.6	-60.4	-132
14142049	2298.9	1952.875	1180.230743	-0.293184195	Female	Strongly liberal	White	us	47	0.29	"White Names/Pleasant Words,Black Names/Unpleasant Words"	26	-18	7	0	3	3	1	1	0	2	Experimental	Congruent first	7.8	-2.8	-10.6
14142055	801.6	1289.125	458.7891119	1.062634198	Female	Moderately liberal	White	us	49	-1.03	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-3	4	15	1	0	1	-1	1	2	0	Control	Congruent first	2.8	1.2	-1.6
14142149	951.75	1100.6	404.8899765	-0.367630736	Female	Neutral	White	us	48	0.35	"White Names/Unpleasant Words,Black Names/Pleasant Words"	100	99	100	49	57	52	99	50	58	51	Experimental	Incongruent first	71.6	71.4	-0.2
14142156	1213.425	1041.05	582.5104605	0.295917433	Male	Slightly liberal	Black	us	31	-0.26	"White Names/Unpleasant Words,Black Names/Pleasant Words"	1	2	32	0	23	21	-9	0	-6	-4	Experimental	Incongruent first	15.4	-3.4	-18.8
14142197	880.475	988.5	157.3107055	0.686698338	Female	Strongly liberal	White	us	56	-0.69	"White Names/Pleasant Words,Black Names/Unpleasant Words"	24	29	12	14	-14	24	-3	2	-4	7	Control	Congruent first	12	6.2	-5.8
14142244	723.175	805.275	389.8898246	-0.210572307	Other	Strongly liberal	Multiracial	us	16	0.21	"White Names/Unpleasant Words,Black Names/Pleasant Words"	99	44	13	-1	4	20	26	0	1	1	Control	Incongruent first	27	14.4	-12.6
14142325	833.225	631.25	291.2126651	-0.693565302	Female	Strongly liberal	White	us	49	0.69	"Black Names/Unpleasant Words,White Names/Pleasant Words"	24	17	16	12	16	13	12	9	10	13	Experimental	Congruent first	16.2	12.2	-4
14142330	2951.05	2140.475	1234.534343	0.656583597	Female	Neutral	White	us	50	-0.64	"White Names/Unpleasant Words,Black Names/Pleasant Words"	99	51	77	79	73	79	29	24	27	28	Control	Incongruent first	81.4	31.8	-49.6
14142343	1346.95	999.025	941.320208	0.369613865	Female	Strongly liberal	White	us	25	-0.37	"Black Names/Pleasant Words,White Names/Unpleasant Words"	24	-68	34	3	48	-2	-3	-77	-90	-74	Experimental	Incongruent first	21.4	-62.4	-83.8
14142370	963.5897436	891.4102564	525.1152193	0.137454571	Female	Neutral	White	us	17	-0.14	"White Names/Unpleasant Words,Black Names/Pleasant Words"	5	4	-1	0	-2	3	4	2	4	4	Experimental	Incongruent first	1	3.6	2.6
14142374	1304.375	1149.225	302.49295	0.512904516	Female	Slightly liberal	White	us	61	-0.47	"Black Names/Pleasant Words,White Names/Unpleasant Words"	47	46	65	67	66	66	62	60	63	58	Experimental	Incongruent first	62.2	57.8	-4.4
14142494	639.375	730.475	238.1654448	0.382507211	Male	Strongly liberal	White	us	32	-0.38	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-1	-3	0	0	0	0	1	-1	0	0	Experimental	Congruent first	-0.2	-0.6	-0.4
14142525	1401.65	1520.95	600.1260501	-0.198791571	Female	Moderately liberal	White	us	44	0.19	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-5	-3	-1	-5	-3	-3	-1	-2	-2	-1	Experimental	Incongruent first	-3.4	-1.8	1.6
14142526	1234.775	1012.45	436.3048665	0.50956342	Male	Moderately liberal	Hispanic	us	57	-0.5	"White Names/Unpleasant Words,Black Names/Pleasant Words"	20	22	0	1	-2	1	0	2	0	0	Control	Incongruent first	4	4.8	0.8
14142573	974.525	1475.45	677.4840928	0.739390054	Female	Moderately liberal	White	us	44	-0.71	"White Names/Pleasant Words,Black Names/Unpleasant Words"	43	25	95	14	13	16	0	7	-21	-26	Experimental	Congruent first	36.2	-3	-39.2
14142581	2483.425	2190.95	1298.043651	-0.22531985	Female	Moderately liberal	Hispanic	us	54	0.22	"Black Names/Unpleasant Words,White Names/Pleasant Words"	NA	39	NA	NA	NA	NA	NA	NA	NA	NA	Control	Congruent first	NA	39	NA
14142592	1860.1	1741.525	1539.973961	0.076998055	Female	Slightly conservative	Black	us	58	-0.08	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	100	100	1	90	100	100	88	100	100	Experimental	Incongruent first	78.2	97.6	19.4
14142633	962.45	1714.6	707.6359104	1.062905357	Male	Moderately liberal	White	us	65	-1.04	"Black Names/Unpleasant Words,White Names/Pleasant Words"	22	23	15	11	16	19	11	15	11	14	Control	Congruent first	16.6	14.8	-1.8
14142647	1792.475	1375.8	926.4895737	0.449735228	Female	Moderately liberal	White	us	50	-0.43	"White Names/Unpleasant Words,Black Names/Pleasant Words"	38	37	-1	-2	1	1	0	1	1	-4	Control	Incongruent first	7.4	7	-0.4
14142683	813.325	946.05	474.4999925	0.279715494	Female	Neutral	White	us	40	-0.31	"White Names/Pleasant Words,Black Names/Unpleasant Words"	62	91	-1	0	-2	0	-1	0	0	1	Experimental	Congruent first	11.8	18.2	6.4
14142691	1047.825	1160.45	821.8596964	-0.137036772	Female	Neutral	White	us	23	0.14	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	-1	99	-1	-1	-2	100	-5	0	-1	Experimental	Incongruent first	39	18.6	-20.4
14142696	753.05	869.6	332.3036119	0.350733473	Female	Moderately liberal	White	us	47	-0.35	"White Names/Pleasant Words,Black Names/Unpleasant Words"	13	21	26	23	19	18	8	11	17	14	Control	Congruent first	19.8	14.2	-5.6
14142732	1215.625	972.8	1082.177712	0.224385512	Female	Moderately conservative	NA	us	51	-0.22	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	-3	16	2	2	-1	-15	0	-4	-1	Experimental	Incongruent first	4	-4.6	-8.6
14142738	943.3	771.2	342.147148	0.502999955	Male	Slightly liberal	White	us	61	-0.5	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-7	-3	-1	0	-2	-1	-2	0	-1	-1	Control	Incongruent first	-2.2	-1.4	0.8
